bins	bw_factor	scale_max_percentile	n_colors	row
400	8	percentile_75	8	767
400	8	percentile_75	9	768
400	8	percentile_75	10	769
400	8	percentile_75	11	770
400	8	percentile_90	1	771
400	8	percentile_90	2	772
400	8	percentile_90	3	773
400	8	percentile_90	4	774
400	8	percentile_90	5	775
400	8	percentile_90	6	776
400	8	percentile_90	7	777
400	8	percentile_90	8	778
400	8	percentile_90	9	779
400	8	percentile_90	10	780
400	8	percentile_90	11	781
400	8	percentile_95	1	782
400	8	percentile_95	2	783
400	8	percentile_95	3	784
400	8	percentile_95	4	785
400	8	percentile_95	5	786
400	8	percentile_95	6	787
400	8	percentile_95	7	788
400	8	percentile_95	8	789
400	8	percentile_95	9	790
400	8	percentile_95	10	791
400	8	percentile_95	11	792
400	10	percentile_75	1	793
400	10	percentile_75	2	794
400	10	percentile_75	3	795
400	10	percentile_75	4	796
400	10	percentile_75	5	797
400	10	percentile_75	6	798
400	10	percentile_75	7	799
400	10	percentile_75	8	800
400	10	percentile_75	9	801
400	10	percentile_75	10	802
400	10	percentile_75	11	803
400	10	percentile_90	1	804
400	10	percentile_90	2	805
400	10	percentile_90	3	806
400	10	percentile_90	4	807
400	10	percentile_90	5	808
400	10	percentile_90	6	809
400	10	percentile_90	7	810
400	10	percentile_90	8	811
400	10	percentile_90	9	812
400	10	percentile_90	10	813
400	10	percentile_90	11	814
400	10	percentile_95	1	815
400	10	percentile_95	2	816
400	10	percentile_95	3	817
400	10	percentile_95	4	818
400	10	percentile_95	5	819
400	10	percentile_95	6	820
400	10	percentile_95	7	821
400	10	percentile_95	8	822
400	10	percentile_95	9	823
400	10	percentile_95	10	824
400	10	percentile_95	11	825
400	12	percentile_75	1	826
400	12	percentile_75	2	827
400	12	percentile_75	3	828
400	12	percentile_75	4	829
400	12	percentile_75	5	830
400	12	percentile_75	6	831
400	12	percentile_75	7	832
400	12	percentile_75	8	833
400	12	percentile_75	9	834
400	12	percentile_75	10	835
400	12	percentile_75	11	836
400	12	percentile_90	1	837
400	12	percentile_90	2	838
400	12	percentile_90	3	839
400	12	percentile_90	4	840
400	12	percentile_90	5	841
400	12	percentile_90	6	842
400	12	percentile_90	7	843
400	12	percentile_90	8	844
400	12	percentile_90	9	845
400	12	percentile_90	10	846
400	12	percentile_90	11	847
400	12	percentile_95	1	848
400	12	percentile_95	2	849
400	12	percentile_95	3	850
400	12	percentile_95	4	851
400	12	percentile_95	5	852
400	12	percentile_95	6	853
400	12	percentile_95	7	854
400	12	percentile_95	8	855
400	12	percentile_95	9	856
400	12	percentile_95	10	857
400	12	percentile_95	11	858
400	14	percentile_75	1	859
400	14	percentile_75	2	860
400	14	percentile_75	3	861
400	14	percentile_75	4	862
400	14	percentile_75	5	863
400	14	percentile_75	6	864
400	14	percentile_75	7	865
400	14	percentile_75	8	866
400	14	percentile_75	9	867
400	14	percentile_75	10	868
400	14	percentile_75	11	869
400	14	percentile_90	1	870
400	14	percentile_90	2	871
400	14	percentile_90	3	872
400	14	percentile_90	4	873
400	14	percentile_90	5	874
400	14	percentile_90	6	875
400	14	percentile_90	7	876
400	14	percentile_90	8	877
400	14	percentile_90	9	878
400	14	percentile_90	10	879
400	14	percentile_90	11	880
400	14	percentile_95	1	881
400	14	percentile_95	2	882
400	14	percentile_95	3	883
400	14	percentile_95	4	884
400	14	percentile_95	5	885
400	14	percentile_95	6	886
400	14	percentile_95	7	887
400	14	percentile_95	8	888
400	14	percentile_95	9	889
400	14	percentile_95	10	890
400	14	percentile_95	11	891
400	16	percentile_75	1	892
400	16	percentile_75	2	893
400	16	percentile_75	3	894
400	16	percentile_75	4	895
400	16	percentile_75	5	896
400	16	percentile_75	6	897
400	16	percentile_75	7	898
400	16	percentile_75	8	899
400	16	percentile_75	9	900
400	16	percentile_75	10	901
400	16	percentile_75	11	902
400	16	percentile_90	1	903
400	16	percentile_90	2	904
400	16	percentile_90	3	905
400	16	percentile_90	4	906
400	16	percentile_90	5	907
400	16	percentile_90	6	908
400	16	percentile_90	7	909
400	16	percentile_90	8	910
400	16	percentile_90	9	911
400	16	percentile_90	10	912
400	16	percentile_90	11	913
400	16	percentile_95	1	914
400	16	percentile_95	2	915
400	16	percentile_95	3	916
400	16	percentile_95	4	917
400	16	percentile_95	5	918
400	16	percentile_95	6	919
400	16	percentile_95	7	920
400	16	percentile_95	8	921
400	16	percentile_95	9	922
400	16	percentile_95	10	923
400	16	percentile_95	11	924
